FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
10	10.11208	5.90792	11	11	1266	10.11208	5.90792	Granitic	Dark-brown	"Farmland (Maize and cassava cultivated), gentle slope"	4.06	7.04	66.4	2.71	20	11	5.11	6.2	23.7	46.5	1.06	0.56	274	66	27.3	217	43.4	1.08	0.08	0.049	14	0.25	9.63	951	119	250	24.9	88.7	15.9	2.17	1.4	10.9	7.03	1.09	2.73	0.365	2.23	0.301	6.86	4.36	2.33	1.8	0.3	51	8.76	1887	1689	171366	311	45070	203	2647	132	28746	83	73	1275	20.85725403	353.254425
11	10.15087	5.90793	12	12	1494	10.15087	5.90793	Rhyolites	Dark	"Abandoned farmland, very gentle slope"	4.32	18.29	11	3.61	48	25	7.84	16.5	13.8	50.7	4.4	0.99	16	38	95	1106	251	9.8	0.23	0.165	9.9	0.47	1.36	153	181	648	46.5	172	32.1	4.42	3.55	24.6	20.9	3.77	11	1.51	9.96	1.48	27.3	14.3	3.27	0.28	0.12	40.3	6.27	477	1478	149539	1008	2049	775	7048	696	70475	113	38	1491	6.564416885	278.1300964
12	10.18971	5.90793	13	13	18971	10.18971	5.90793	No observable outcrop	Dark-brown	"Farm land, slope"	4.45	23.79	15	1.5	97	73	8.73	35.4	22.6	44.9	4.86	1.91	40	37	51.5	812	176	7.45	0.19	0.134	7.4	0.47	3.22	199	28.8	306	7.21	29.6	9.12	2.74	1.64	9.59	10.9	2.06	6.14	0.85	5.61	0.82	18.3	10.6	2.65	0.32	0.22	25.5	5.62	812	2648	115782	1431	4765	1215	8612	1086	99514	116	28	2027	20.72627258	269.3839417
13	10.22856	5.90791	14	14	2199	10.22856	5.90791	volcanic breccia	Dark-grey	"abandoned farmland, slope, close to a forest"	4.23	30.43	7.7	0.94	198	352	19.3	104	40.7	29.6	2.49	1.03	12	26	10.8	346	95.5	2.32	0.07	0.091	3.4	0.31	1.27	176	24.3	122	6.01	23.1	4.83	1.39	0.526	3.57	3	0.515	1.49	0.19	1.3	0.186	8.59	5.41	0.93	0.12	0.11	11.7	2.55	344	2093	118782	2171	1710	975	25693	956	147065	78	13	2057	15.48999023	40.23635864
14	10.26768	5.91063	15	15	2010	10.26768	5.91063	volcanic breccia	Greyish	"slope, Farmland (green spices, potatoes), farmers apply fertilizer"	4.5	21.93	12.9	4.79	60	46	6.84	23.9	21.4	42.9	4.29	1.69	51	32	71.3	932	208	3.74	0.18	0.261	9	0.43	2.6	205	119	400	27	97.1	18.1	3.28	2.35	15.2	15.2	2.8	8.52	1.13	7.49	1.13	22.4	12.2	1.57	0.35	0.15	29.1	5.64	959	2516	116215	1397	5245	2034	6835	1231	75482	135	26	1991	5.310663223	203.1985931
15	9.7384	5.94586	16	16	1048	9.7384	5.94586	Granitic	Redish brown	"Farm land (cassava cultivated), at a slope"	4.13	14.33	18.4	1.38	131	70	9.68	29	37.8	38.6	2.6	1.35	74	63	6.74	121	25.7	2.3	0.07	0.058	7.3	0.2	6.57	433	40.2	112	8.19	27.1	4.7	0.866	0.348	2.75	1.87	0.298	0.87	0.121	0.858	0.129	3.56	1.42	0.96	0.48	0.42	29	3.2	637	4167	157603	745	13064	1493	7180	216	63010	71	42	558	19.45875549	97.94347382
16	9.76401	5.94609	17	17	713	9.76401	5.94609	Granitic	Dark	"Palm plantation, collected at the foot of a gentle slope. Sample collected 144m from central point"	4.23	15.78	14.4	0.95	108	63	6.28	25.3	23.2	30.9	2.39	1.01	117	97	9.84	212	50.9	15.1	0.06	0.08	8.7	0.25	4.72	535	45	104	8.28	26.6	4.51	0.792	0.4	2.78	2.35	0.439	1.39	0.218	1.64	0.222	5.95	4.57	1.53	0.57	0.53	33.4	5.68	1320	2984	123070	1012	26755	1441	9283	433	53166	64	43	732	14.1088295	330.9454041
17	9.80266	5.94704	18	18	1140	9.80266	5.94704	Granitic	Dark-brown	"Hill slope, farmland (cocoyams, palm fruits, okra, maize)"	4	11.93	27.8	1.56	152	127	15.1	59.7	46.1	34.8	2.19	0.99	105	49	14.5	123	24.6	4.4	0.05	0.043	4.3	0.29	7.79	493	58.8	162	13.6	50.5	9.54	1.6	0.804	6.53	4.02	0.603	1.59	0.202	1.33	0.198	3.64	1.61	2.6	0.61	0.22	36.7	4.84	596	8597	148587	587	18361	421	7622	535	69116	91	50	1139	16.42925644	140.5993347
18	9.84031	5.94603	19	19	1451	9.84031	5.94603	Granitic	Dark	"Abandoned farmland with thick bahama grass, hill slope; closest to the top. Collected above a landslide scar"	4.51	18.1	32.2	3.08	50	25	5.26	15.4	26.7	51.9	3.55	0.72	115	77	8.97	190	24.4	1.67	0.07	0.066	7.3	0.2	5.76	309	63.5	225	11.9	36.7	6.37	1.15	0.47	3.73	2.35	0.386	1.15	0.15	1.06	0.17	6.14	2.08	1.3	0.59	0.42	92.9	11	600	1700	181920	1102	13812	545	3528	305	28536	66	100	1432	30.63663101	167.300415
19	9.8784	5.94467	20	20	1709	9.8784	5.94467	Granitic	Dark	"Slope of a hill; near the summit, grazing land, collected near a landslide scar"	4.41	25.24	45.6	1.88	55	21	5.64	16.7	14.7	43.2	1.15	0.87	143	129	9	162	17.6	2.46	0.04	0.064	7.1	0.19	7.03	567	130	324	23.5	66.9	9.42	1.72	0.542	4.53	2.6	0.41	1.16	0.143	0.948	0.156	4.71	1.42	1.5	0.68	0.22	72.2	12.6	826	2507	161268	1232	19118	1868	3650	514	26603	73	78	1707	31.81698608	196.771225
