FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
48	9.91811	6.02189	50	51	1704	9.91811	6.02189	Granitic	Dark	"Gentle slope, grazing land"	4.33	16.22	40.6	1.13	93	34	23.1	20.7	24.8	35.6	1	0.7	195	86	26.4	147	34.3	2.55	0.05	0.052	6.7	0.09	14.6	592	85	152	18.1	65.4	11.8	2.04	1.09	8.04	6.16	1.09	3	0.438	2.81	0.412	4.74	3.24	1.13	1.25	0.28	55.6	12.5	1293	5886	137519	1184	30517	1125	5678	946	41941	97	51	1703	14.90144062	156.5713043
49	9.99956	6.02161	52	53	1247	9.99956	6.02161	Granitics	Dark	"Grassfield, Farmland (mixed,but mostly cocoyam)"	4.39	8.77	13	1.35	59	21	6.45	10.6	19.3	28.4	0.98	0.39	159	51	11.1	149	19.2	2.32	0.04	0.044	3.8	0.13	7.46	408	31	101	7.35	28.2	5.41	0.993	0.473	3.4	2.81	0.503	1.5	0.245	1.81	0.259	4.95	1.67	4.14	0.7	2.74	55.9	8.75	1093	1585	122764	576	32467	1209	3775	299	32427	43	45	1187	2.210875988	18.43494797
50	10.02494	6.01178	53	54	1144	10.02494	6.01178	Basaltic	Dark brown	"At a slope, Farm land (Cocoa planted), sample collected near swampy areas. Sample collected 1.56 km from to centre point due to inaccessibility"	4.85	16.99	12	2.32	199	31	38.2	33.9	29.8	29.4	2.2	0.87	17	132	49.1	765	154	4.22	0.16	0.122	5.8	0.36	1.94	213	120	315	29.3	103	19.2	5.22	2.04	15	11.4	2.03	6.22	0.753	4.82	0.748	15.7	8.96	1.89	0.26	0.13	20.3	4.38	330	1674	116810	1745	2084	2501	22190	1365	132451	85	19	1147	1.188705921	101.3099289
51	10.07327	6.02161	54	55	1294	10.07327	6.02161	Granite	Redish brown	Grazing land	4.33	11.94	15.3	1.68	49	27	8.28	16.6	12.9	38.7	0.95	0.56	119	52	21.7	319	48.2	4.34	0.07	0.045	5.4	0.12	6.2	517	113	341	23.6	75.7	13.5	1.97	1.14	8.5	6.34	1.05	3.19	0.389	2.62	0.412	7.55	2.36	0.88	0.7	0.58	46.8	7.83	1033	1476	146394	648	23845	484	5728	150	53758	55	57	1233	12.36078262	254.9315186
52	10.11205	6.02167	55	56	1284	10.11205	6.02167	Rhyolites	"Dark, gravelly soils"	"Farm land (cassava cultivated), at a slope"	4.52	19.07	9.3	2.22	116	51	7.28	24.6	16.2	32.9	2.76	1.07	12	318	71.3	825	149	6.32	0.13	0.109	6.7	0.35	1.47	497	172	403	43.6	158	32.5	7.62	3.65	27.3	20.2	3.2	8.55	0.904	5.23	0.716	16.8	8.51	2.1	0.14	0.21	22.3	5.16	211	1023	137759	2371	1553	1184	19016	359	85323	51	23	1283	6.598398209	50.71059418
53	10.1509	6.02164	56	57	1216	10.1509	6.02164	 	Dark brown	"Cassava farm, weed control, grass field"	4.07	14.42	23.9	1.78	115	159	5.13	55.8	34.8	35.6	2.13	0.81	46	18	8.84	152	35.3	3.04	0.04	0.026	15.4	0.19	4.24	66	44.3	124	9.59	30.1	5.75	1.09	0.49	3.73	2.68	0.422	1.22	0.15	1.04	0.177	4.29	3.15	1.63	0.35	0.94	20.1	6.04	222	1117	131643	639	4649	265	5081	159	57617	30	55	1266	7.081857681	211.6074982
54	10.18974	6.02158	57	58	1271	10.18974	6.02158	Gravelly	Dark	"Grazing land, found on a slope"	4.09	19.43	12	0.83	128	105	10.2	50.5	47.3	31.3	1.24	0.71	37	38	13	190	33	2.71	0.05	0.041	7	0.12	3.14	176	96.3	235	19.7	62.6	10.6	2.07	0.8	6.37	4.13	0.655	1.84	0.217	1.48	0.23	4.6	2.27	1.44	0.26	0.46	29.7	6.11	271	1386	127740	1126	5495	532	8493	297	67262	47	43	1267	13.02627277	309.2893982
55	10.22896	6.02241	58	59	1270	10.22896	6.02241	 	Dark brown	"Farm land. Cultivated crops are; cassava, plantains. No visible outcrops"	5.01	18.57	19.1	1.91	242	169	33.6	105	63.2	34.5	3.67	1.19	32	43	33.9	403	89.5	3.07	0.17	0.119	6.1	0.33	3.14	187	77.8	253	17.2	67	13.3	2.75	1.39	9.21	7.95	1.54	4.2	0.573	3.34	0.493	10.6	5.84	1.79	0.4	0.23	20.6	4.6	299	2152	135950	1818	2748	1627	19106	1460	111336	89	24	1256	2.717085123	300.9637451
56	10.2669	6.02146	59	60	1450	10.2669	6.02146	granitic	Greyish	"hill of a slope, forested area"	4.17	18.53	9.2	1.31	319	376	33.9	197	49.7	34.2	2.39	0.94	6	82	19.8	448	111	3.76	0.11	0.078	4	0.27	0.82	128	84.3	203	19.7	76.9	14.5	3.86	1.2	8.53	6.05	1.08	2.67	0.334	1.94	0.283	11.1	6.72	1.32	0.13	0.1	14.2	3.15	201	3020	153076	1389	933	122	28154	1097	168587	96	13	1437	18.71223831	35.21759415
57	9.72391	6.05952	60	61	1213	9.72391	6.05952	Granitic	Dark	"Hill slope, forest vegetation"	4.02	20.25	24.6	1.62	130	45	9.91	22	34.9	33.7	1.96	1.3	68	73	15.1	139	38.9	2.94	0.07	0.065	7	0.25	5.26	355	68.1	154	15.9	58.9	10.7	2.04	0.836	5.86	4.42	0.797	2.1	0.292	1.84	0.275	4.09	3.13	2.15	0.52	0.52	35.2	6.93	695	3092	149134	1236	11001	939	8472	447	64075	72	42	1542	39.3841095	189.4156342
58	9.76275	6.05953	61	62	945	9.76275	6.05953	Granitic	Dark-brown	"slope of a hill; close to the base, forest vegetation"	3.96	16.01	29.1	1.95	153	46	13.2	24.1	48.8	32.8	1.4	1.22	76	93	20	154	45.7	2.07	0.06	0.055	9.1	0.21	5.32	455	87.5	207	21.3	82.4	15.5	2.91	1.19	8.62	6.11	1.08	2.84	0.395	2.47	0.377	4.71	3.99	1.12	0.65	0.36	42.5	7.62	693	3302	152451	1087	13256	745	10331	337	68865	79	45	960	6.317476749	233.9726257
59	9.83878	6.05997	63	64	1439	9.83878	6.05997	Granitic	Dark-brown	"Hill slope; close to the top, grazing land, taking 100m from central point"	4.7	24.37	28.2	1.23	123	56	9.38	27.7	18.8	38	3.19	1.47	72	146	10.9	151	26.8	3.84	0.06	0.081	6.9	0.44	5.55	601	71.6	223	14.9	52.5	8.74	1.6	0.595	4.41	3.01	0.549	1.4	0.191	1.17	0.183	4.47	2.14	3.79	0.45	0.45	44.3	9	924	3760	152640	1118	14907	2339	6981	324	54265	63	46	1439	27.90861321	115.9743958
60	9.87988	6.06098	64	65	1634	9.87988	6.06098	Granitic	Dark	"Foot of a hill, grazing land"	4.37	18.57	66	2.36	117	61	25.5	40.9	45.3	32.2	0.94	0.84	149	100	51.3	109	27.8	1.83	0.08	0.064	7.3	0.13	7.9	790	141	295	31.4	118	22.1	4.06	2.16	14.6	12.3	2.38	6.46	0.88	5.08	0.714	3.31	1.65	1.15	0.96	0.32	47.9	5.34	1313	7628	145573	1674	21675	1449	7006	1460	58866	120	39	1626	17.80587196	188.74617
61	9.91738	6.05895	65	66	1770	9.91738	6.05895	Granitic	Greyish	"Slope of a hill, Grazing land"	4.04	13.66	68.4	2.37	81	45	11.1	27.6	19.3	42.8	1.4	0.8	197	98	19.9	192	26.5	1.88	0.06	0.027	7.8	0.17	10.6	624	107	170	24.6	90.7	15.9	2.72	1.07	8.52	5.6	0.953	2.59	0.343	2.13	0.334	6.04	2.19	1.62	1.28	0.63	52.9	12	1588	5360	159445	812	30205	527	5388	260	39164	69	69	1759	23.77414513	73.90918732
62	9.95683	6.0595	66	67	1696	9.95683	6.0595	Granitic	Greyish	"Slope, grazing land"	4.07	17.3	29.9	1.87	88	42	10.1	28.1	19.6	37.7	1.45	0.84	130	84	17.3	168	36.9	3.89	0.07	0.041	7	0.15	8.67	461	87.9	225	17.6	61	10.5	1.73	0.809	5.65	4.44	0.82	2.33	0.335	2.26	0.363	5.37	3.83	7.46	0.86	0.86	76.4	18.3	986	3667	156446	820	24027	466	5823	234	42613	56	59	1697	22.10713959	37.67359161
63	9.99561	6.05951	67	68	1289	9.99561	6.05951	granitic	Dark	"gentle slope, abandoned farmland, shrubs"	4.54	12.02	49.3	1.85	70	35	11.5	20.9	29	31.6	1	0.64	212	223	23.3	171	28.4	2.16	0.07	0.052	6.2	0.12	9.27	1322	114	240	23.4	84.7	13.8	2.49	0.995	7.56	5.2	0.934	2.62	0.342	2.19	0.336	4.67	2.55	4.14	1.13	0.27	64.6	10.3	2628	4588	136683	952	44369	1103	6308	639	34459	70	53	1287	18.25656509	128.9909973
64	10.03442	6.05936	68	69	1127	10.03442	6.05936	No observable outcrop	Dark	"Grassland, very close to a maize farm, no outcrop exposure"	4.61	22.89	16.7	1.05	140	91	8.03	42.6	24.4	45.1	4.87	1.07	20	43	37.7	893	165	6.21	0.22	0.16	9	0.46	3.32	105	60.6	400	14.4	55.6	11.4	1.73	1.29	7.63	8.09	1.74	5.23	0.753	4.82	0.739	21.3	9.84	2.86	0.23	0.37	38.7	7.21	256	1322	156784	1062	2392	1196	11205	516	81233	53	38	1121	5.617001057	65.55604553
65	10.07377	6.05834	69	70	1208	10.07377	6.05834	granitic	Dark	"Hill slope, abandoned farmland"	4.28	12.64	43.1	1.8	61	41	11	22	10.2	31.4	1.29	0.6	138	90	18	197	31.9	2.69	0.08	0.072	5.2	0.18	7.82	823	77.6	179	15.6	55.4	9.39	1.69	0.818	5.74	4.49	0.8	2.2	0.296	1.87	0.273	5.63	2.55	1.24	0.89	0.25	33.2	9.8	1425	2335	133298	731	29603	826	6328	520	35735	54	52	1226	5.923752785	48.17982864
66	10.15091	6.05951	70	72	1211	10.15091	6.05951	Granites	Dark	"Found  on a slope, Farm land (Cassava cultivated)"	4.11	8.56	36.9	2.13	101	91	13.8	42.8	33.1	32.1	0.77	0.57	84	72	23.1	99	15.1	1.39	0.04	0.023	6	0.07	4.78	740	58.6	133	13.8	52.7	9.81	2.31	0.9	6.38	5.16	1.03	2.78	0.378	2.36	0.386	2.94	1.07	0.54	0.66	0.22	14.8	3.64	764	3217	150736	455	21272	258	5272	186	51593	52	38	1202	7.223852634	95.52754211
67	10.1899	6.0586	71	73	1127	10.1899	6.0586	Granites	Reddish brown	Farmland (Cocoyams/ cassava)	4.23	10.51	108	3.66	84	90	14.3	51.8	21.5	36.9	1.94	0.84	190	57	20.1	104	33.5	1.77	0.12	0.033	14.2	0.14	12.2	460	52.4	133	12.7	48.8	9.12	1.82	0.891	6.04	4.91	0.926	2.39	0.328	1.99	0.289	3.19	3.59	1.25	1.36	1.23	14.9	9.62	956	4082	142421	599	22605	579	5316	404	44165	67	38	1135	5.588246346	343.0724792
68	10.2297	6.06029	72	74	1204	10.2297	6.06029	Volcanic bombs	Dark	"Farmland, Cassava cultivated"	4.1	9.05	34.7	2.42	164	100	18.2	56.8	89	28.3	1.19	0.67	29	28	38.4	99	28.2	2.11	0.05	0.028	6.1	0.11	4.53	139	63.9	142	17.5	70.7	14.4	3.27	1.53	10.3	8.84	1.76	5.06	0.68	4.18	0.672	2.84	2.09	1.24	0.42	0.46	14.2	3.01	154	2356	131763	716	3607	4	9842	501	80572	66	26	1195	5.739868164	31.75947952
69	10.26733	6.05903	73	75	1480	10.26733	6.05903	granitic and shale	 	 	5.04	18.28	22.4	1.14	57	43	7.69	26.1	28	33.1	2.78	1	60	34	19	153	86.3	3.9	0.09	0.14	5.4	0.28	2.78	125	58.8	348	14.9	56.1	10.7	0.78	0.939	6.31	4.98	0.923	2.5	0.335	1.88	0.253	4.21	5.17	1.66	0.48	0.13	20.8	2.82	431	2264	114033	765	5860	3090	4025	730	40015	114	32	1405	13.90067101	135
70	9.76275	6.09739	74	76	1456	9.76275	6.09739	Granitic	Dark-brown	"Gentle slope, forest reserve, collected closed to grazing land"	4.12	24.22	19.9	1.47	114	46	7.17	20.4	18.1	35.5	2.72	1.16	59	59	10.1	152	35.9	3.5	0.06	0.08	5.9	0.24	5.14	280	51	110	10.6	36.7	6.53	1.24	0.523	3.51	2.9	0.552	1.48	0.211	1.32	0.196	4.42	2.55	3.44	0.39	0.82	30.2	6.92	643	2934	154139	1391	9040	1329	7314	548	61645	65	39	1649	17.45449829	201.2505035
71	9.80152	6.09739	75	77	1379	9.80152	6.09739	Granitic	Dark-brown	"Gentle slope, abandoned farmland (banana), palms"	4.25	17.6	43.2	2.09	127	55	18.3	32.5	29.7	35.4	2.1	1.09	111	73	21.3	107	27.2	2.63	0.08	0.088	4.8	0.17	7.85	571	62.2	180	14.6	56.3	10.6	2.26	1.01	7.05	5.66	1.01	2.79	0.377	2.46	0.342	3.15	1.81	1.19	0.73	0.29	29.1	4.94	914	5452	165979	1789	17122	1081	8095	1245	64779	105	42	1375	13.22127628	104.0362473
72	9.83905	6.09674	76	78	1499	9.83905	6.09674	Granitic	Dark	"Slope of a hill, grazing land, taken 121m from central point"	4.22	18.8	26.2	1.2	139	55	9.16	24.8	21.7	47.1	3.31	1.02	87	179	14.6	195	31.9	4.02	0.06	0.061	8.9	0.39	5.93	784	110	316	23	82.7	13	2.35	0.822	6.5	3.96	0.664	1.71	0.232	1.47	0.213	5.55	2.52	3.23	0.52	0.37	51.5	9.52	1007	3310	181930	1122	19989	488	8435	247	58245	60	53	1529	30.3186779	253.835495
73	9.87917	6.0974	77	79	1776	9.87917	6.0974	Granitic	Dark-grey	"Top of a hill, Grazing land"	4.35	16.98	53	1.89	84	31	11.4	18.3	25.3	36.1	1.55	0.78	154	101	28.3	123	32.3	2.6	0.05	0.034	6.2	0.16	10.2	590	87.4	186	19.1	69.5	12.8	2.14	1.22	8.31	6.86	1.21	3.46	0.51	3.29	0.465	3.86	3.1	0.95	0.82	0.29	55.4	9.23	1160	4936	164869	1021	26584	943	6504	447	42546	69	46	1795	25.29313087	222.2073059
74	9.91818	6.09741	79	80	1858	9.91818	6.09741	Granitic	Dark	"Hill slope; close to the top, forest vegetation"	4.34	27.11	44.4	1.99	94	40	11.1	24.7	20.8	34	2.04	0.91	129	108	19.9	121	24.2	2.4	0.05	0.071	5.9	0.18	12.4	588	63.1	122	13.5	49.2	8.74	1.66	0.805	5.73	4.47	0.793	2.19	0.3	2.11	0.299	3.73	2.7	2.06	0.77	0.58	37.4	12	1058	4714	137328	1434	22301	2168	5119	688	43245	65	48	1869	11.70687008	225
75	9.9568	6.09726	80	81	1869	9.9568	6.09726	Granitic	Dark	"Hill slope, grazing land"	4.1	31.17	10.6	1.48	296	78	30.7	82	49.8	27.1	2.42	1.27	16	57	37.7	394	81.5	3.45	0.11	0.092	3.5	0.24	1.68	121	77.2	154	19.1	76.4	14.8	3.95	1.6	11.4	9.04	1.62	4.34	0.563	3.37	0.466	8.76	5.07	0.84	0.24	0.1	11	3	387	3560	109467	2657	2540	928	28536	1513	116655	106	13	1664	16.37174416	227.2457428
76	9.99638	6.09756	81	82	1327	9.99638	6.09756	Granitic	Dark-brown	"Grassland, perhaps partially grazed"	4.5	21.04	48	3.25	61	21	12	13.3	28.5	31.5	0.9	0.5	203	100	29.7	134	24.4	2.75	0.06	0.077	6.4	0.13	13.9	581	81.9	183	17.8	65.5	12.2	2	1.11	7.94	6.28	1.11	3.08	0.442	2.76	0.376	3.91	2.4	2.57	1.13	0.6	63.6	18.4	2645	4242	122041	1114	28785	3050	4672	893	32692	80	42	1328	6.275472641	272.1210938
77	10.03371	6.09667	82	83	1158	10.03371	6.09667	Granitic	Dark-brown	"Gentle slope, grazing land"	3.97	11.98	10.6	1.64	71	45	3.23	11	11.2	32.4	1.25	0.62	82	133	7.81	56	13.9	2.12	0.04	0.037	4	0.08	4.01	351	39.9	119	7.12	24.5	4.07	0.826	0.345	2.52	1.88	0.34	0.92	0.12	0.783	0.116	1.57	0.781	1.12	0.44	0.31	23.7	4.24	226	1860	150587	713	7906	382	3795	115	23072	22	35	1147	5.20015192	26.56505013
78	10.07368	6.0972	83	84	1242	10.07368	6.0972	Granitic	Dark	"Steep slope, forest vegetation,"	4.82	15.39	48.1	3.37	34	20	7.53	11.2	13.5	39.6	1.13	0.62	179	99	17.9	237	29.4	2.26	0.07	0.073	10.3	0.11	11.8	598	87.2	203	17.5	61.9	10.9	1.54	0.929	6.7	4.68	0.772	1.99	0.267	1.75	0.249	7.01	2.78	1.08	1.08	0.23	43.3	10.7	1527	2252	163130	592	34456	2401	3202	299	28979	55	70	1235	26.26349258	298.0446777
79	10.11208	6.09742	84	85	1144	10.11208	6.09742	Granitic	Reddish brown	"Point is closed to settlement area, mixed farming (Sugar cane, ginger, cassava, cocoyams)"	4.78	6.59	40.8	3.09	68	20	18.7	15.5	27.3	32.1	0.58	0.45	141	153	32.2	220	37.8	2.3	0.06	0.037	5.1	0.07	9.41	1096	127	222	26.5	97.6	15.6	3.36	1.37	10.3	6.7	1.13	2.83	0.348	2.06	0.286	5.24	2.72	1.18	1.04	0.35	21.8	5.85	860	5351	138284	943	24028	1322	13056	591	74714	104	39	1150	4.005567551	234.4623261
80	10.15088	6.09739	85	86	1010	10.15088	6.09739	Granitic	Dark-brown	"Hill slope, farmland (Ginger and palms cultivated)"	4.04	9.72	14.7	2.44	121	57	14.5	28.8	32.3	32.9	0.75	0.57	138	203	19.6	121	22.7	2.18	0.05	0.035	6.8	0.07	3.21	1473	70.3	177	13.4	47.7	8.08	1.66	0.753	5.3	4	0.736	1.97	0.269	1.72	0.253	3.27	1.61	0.97	0.86	0.31	27.2	3.76	1405	3657	150256	591	41612	1113	7688	258	51176	66	40	1009	4.019032955	169.9920197
81	10.18804	6.09884	86	87	1022	10.18804	6.09884	Granitic	Dark	"Hill slope, grazed land (partially)"	4.02	11.92	19.1	2.74	76	24	9.72	13.8	12.4	29.8	0.92	0.65	114	104	12.3	72	13.4	0.89	0.04	0.031	4.6	0.1	3.29	1119	39.5	116	7.81	28.8	4.93	1.28	0.51	3.45	2.78	0.51	1.34	0.184	1.14	0.164	2.07	0.803	1.16	0.67	0.28	14.1	2.21	946	3468	150615	554	28524	578	5042	328	41517	64	36	1021	15.0065136	30.06858253
82	10.22848	6.09783	87	88	1098	10.22848	6.09783	No observable outcrop	Dark	"Slope of a hill, grazing land"	4.11	12.44	43.8	1.97	128	78	15.4	44.4	38.8	35.7	1.67	1.03	64	70	16.3	101	24.8	2.06	0.06	0.032	7	0.13	5.38	539	56.4	179	13.1	50.4	9.44	2.09	0.794	5.81	4.28	0.734	1.93	0.266	1.67	0.257	2.83	2	0.8	0.61	0.21	18.4	2.96	412	3993	161205	634	12430	292	8608	273	67704	72	40	1123	9.068943977	19.35899353
83	10.26378	6.09936	88	89	1599	10.26378	6.09936	granitic	Dark-brown	 	4.3	14.36	13.2	1.77	167	226	14	96.5	22.6	42.8	8.94	1.96	18	44	20.8	447	155	5.6	0.12	0.114	7	0.31	1.16	109	96.9	264	20.5	70.8	12.6	1.48	1.09	7.62	5.84	1	2.55	0.338	2.1	0.307	10.4	8.99	1.92	0.22	0.08	18.8	3.61	246	1777	135484	1260	2095	403	17454	466	108897	84	24	1597	5.740327835	21.37062263
84	9.79963	6.13544	89	90	1673	9.79963	6.13544	Granitic	Dark	"Steep slope, Grazing land. Sample taken 185m from the central point"	4.48	37.26	26.4	1.39	88	32	9.67	16	18.6	21.9	1.65	1.26	73	80	17.1	87	21.5	2.14	0.05	0.131	3.2	0.17	6.41	481	38.5	90	8.92	33.8	6.49	1.36	0.709	4.71	4.13	0.721	2.05	0.278	1.99	0.277	2.52	1.72	1.38	0.4	0.32	17.4	6.25	2782	4071	102670	1170	16963	2196	6669	617	41828	48	25	1622	32.41061401	40.84035873
85	9.84037	6.13525	90	91	1600	9.84037	6.13525	Granitic	Dark	"Steep slope, grazing land."	4.61	33.51	26.3	1.15	83	37	10	19.5	39.2	24.6	1.84	1.2	97	158	15.5	91	17.3	3.33	0.07	0.095	4.1	0.21	7.17	756	64.4	134	13.8	50.3	8.75	1.6	0.719	5.2	3.79	0.64	1.71	0.222	1.45	0.204	2.47	1.36	2.14	0.53	0.32	26.1	5.45	1935	4429	96577	1788	20002	3263	4661	991	35453	66	31	1615	37.33744431	244.3920746
86	9.87919	6.13529	91	92	1454	9.87919	6.13529	Granitic	Dark	"Valley, farmland (cassava)"	4.31	14.82	54.1	2.83	99	46	12.9	25	29.8	35.5	1.94	0.78	190	165	18.9	228	27.3	2.19	0.12	0.11	6.6	0.21	11	941	68.3	200	14.7	54.5	9.71	1.74	0.77	5.65	4.3	0.785	2.2	0.325	2.16	0.329	6.36	2.32	1.83	1.12	0.39	50	11.1	2550	5111	135332	1291	32122	1720	6208	754	44449	90	50	1461	7.865857124	315
87	9.91804	6.13529	92	93	1454	9.91804	6.13529	Granitic	Dark-brown	"Slope, grazing land"	4.14	16.9	60.6	2.07	44	29	6.65	16.1	20.4	39.2	1.46	0.69	263	66	10.8	165	16.9	3.21	0.09	0.05	5.1	0.12	12.1	540	49.7	172	9.24	30.9	5.17	0.986	0.449	3.09	2.53	0.441	1.3	0.196	1.3	0.206	4.72	1.33	1.28	1.46	0.19	97.9	9.94	1689	2089	148303	784	42164	1099	2632	395	28369	66	62	1523	15.30469894	120.3791275
88	9.95678	6.13508	93	94	1723	9.95678	6.13508	Granitic	Dark-grey	"Gentle slope, grazing land"	4.48	25.62	37.2	2.1	78	41	11.9	28.3	23.6	38.6	1.92	0.9	87	105	15.8	149	25.1	2.79	0.05	0.072	6.1	0.22	6.23	388	113	291	22.3	75.8	11.9	2.05	0.811	6.2	4.06	0.689	1.75	0.234	1.44	0.191	4.09	2.34	0.71	0.54	0.25	51.6	9.46	642	2966	161216	1331	12677	1779	5317	670	40006	67	80	1699	8.499682426	29.35775375
89	9.95678	6.13508	94	94	1723	9.95678	6.13508	granitic	Dark-grey	 	4.48	25.62	37.2	2.1	78	41	11.9	28.3	23.6	38.6	1.92	0.9	87	105	15.8	149	25.1	2.79	0.05	0.072	6.1	0.22	6.23	388	113	291	22.3	75.8	11.9	2.05	0.811	6.2	4.06	0.689	1.75	0.234	1.44	0.191	4.09	2.34	0.71	0.54	0.25	51.6	9.46	642	2966	161216	1331	12677	1779	5317	670	40006	67	80	1699	8.499682426	29.35775375
90	9.99563	6.13526	95	95	1556	9.99563	6.13526	Granitic	Dark	"Gentle slope, grazing land"	4.04	15.97	31.1	1.62	73	36	6.97	20.6	13.8	42.7	2.05	0.78	135	105	11.1	183	25	5.14	0.07	0.049	5.7	0.22	9.97	503	87.6	194	16.1	53.5	8.39	1.49	0.586	4.38	2.97	0.503	1.4	0.183	1.26	0.174	5.14	1.96	3.7	0.77	0.99	73.4	10.2	1077	2267	174656	771	23704	481	4849	189	40595	52	58	1554	9.046404839	184.3987122
91	10.03446	6.13529	96	96	1290	10.03446	6.13529	Massive basalts	Dark-brown	"Hill slope, abandoned farmland"	5.58	17.39	81	1.99	82	61	20.4	37.7	31.3	31.9	0.91	0.53	160	142	70	46	30.2	2.84	0.03	0.053	6.9	0.2	11.5	520	117	173	31.1	126	24.5	4.01	2.49	17.8	14.3	2.66	7.57	1.03	6.72	0.972	1.6	2.6	3.47	0.74	0.71	30.7	11.2	958	6656	145343	1001	23725	5353	5502	1071	41733	102	41	1288	7.932981491	173.2901611
92	10.0707	6.13394	97	97	1182	10.0707	6.13394	Granitic	Dark	"Grassfield with shrubs, steep slope"	4.69	17.23	33.9	1.74	63	32	13.2	21.5	23.4	34.9	1.4	0.94	149	107	17.8	232	37.4	2.88	0.07	0.061	4.3	0.11	6.32	699	89	227	18.1	64.2	11.2	1.85	0.973	7.24	4.95	0.817	2.14	0.272	1.64	0.243	6.14	1.99	0.9	0.76	0.21	33.7	6.5	2847	3941	138756	965	24670	2706	7118	506	50104	82	44	1186	19.75649452	38.5583992
93	10.11202	6.13503	98	98	697	10.11202	6.13503	Granitic	Dark-grey	"Slope of a hill; close to the base, farmland (Palms, cocoa)"	3.92	6.61	26.4	2.18	43	29	6.41	13	16.5	31.4	0.72	0.37	181	154	10.5	146	19	1.67	0.06	0.064	3.1	0.11	3.25	1559	84.2	157	14.4	48.5	6.83	1.77	0.484	3.8	2.45	0.4	1.06	0.142	0.89	0.13	3.28	1.17	0.68	1.02	0.11	30.8	3.77	9128	3078	119131	431	46228	2501	4969	370	36225	74	30	702	18.53927612	275.5722046
94	10.14976	6.13311	99	99	982	10.14976	6.13311	Gneiss	Dark	"Steep slope, forest vegetation, sample collected 288m from central point"	4	7.78	11.7	2.61	104	61	12.3	25.3	31.6	28	0.98	0.62	147	210	15.3	140	29.6	1.59	0.08	0.071	6.5	0.14	5.22	1389	46.5	108	8.85	32.2	5.86	1.32	0.626	4.16	3.43	0.63	1.72	0.237	1.49	0.205	3.65	1.86	1.19	0.87	0.2	18.3	3.6	1582	2787	126840	534	40360	881	9058	412	46286	62	42	981	19.29034805	351.3045044
95	10.18905	6.12703	100	100	932	10.18905	6.12703	Granitic	Greyish	"Hill slope, abandoned farmland, sample taken at buffer zone"	4.21	10.43	11.1	2.91	105	34	13.7	25.5	30.5	32.1	0.76	0.6	107	179	30.6	88	17.4	1.03	0.08	0.027	7.1	0.09	2.83	1050	94.6	229	19.8	73.2	13	2.44	1.25	9.02	7.06	1.3	3.49	0.447	2.58	0.359	2.55	0.843	1.08	0.73	0.23	22.5	1.94	1002	3142	147755	709	32083	1000	6910	321	56705	74	40	925	15.45204639	346.3730164
96	10.22853	6.13529	101	101	1170	10.22853	6.13529	Granitic	Red	"Settlement area, farmland (cassava, plume, plantain)"	4.9	9.05	20.2	1.91	137	123	15.3	58.4	29	35.1	1.27	0.68	49	72	20.2	105	19.5	2.13	0.05	0.055	4.6	0.1	2.28	506	71.3	163	15.3	57.8	9.84	2.29	0.835	6.18	4.41	0.835	2.19	0.287	1.73	0.238	2.94	1.33	0.85	0.37	0.21	14.2	3.5	343	3121	156051	1753	8353	2407	9202	531	74677	95	33	1167	11.75158596	30.57922554
97	9.80155	6.17301	102	103	1442	9.80155	6.17301	Granitic	Dark	"Hill slope, forest vegetation"	4	13.73	35.7	1.41	71	30	8.14	16.9	14.8	27.1	1.47	0.68	160	68	16.2	81	18.4	5.79	0.07	0.053	3.9	0.15	7.67	599	41.1	98.7	9.36	35.2	6.81	1.17	0.687	4.73	3.81	0.663	1.87	0.267	1.86	0.262	2.58	1.54	1.69	0.81	0.69	22.2	7.17	1820	2627	138919	499	31331	1084	3869	488	36196	48	30	1049	31.44817734	300.8329468
98	9.84248	6.17718	103	104	962	9.84248	6.17718	Ganitic	Dark	"Slope of a hill; close to the base, forest vegetation, taken 400m from central point due to inaccessibility"	4.14	10.12	30.7	2.29	59	26	6.8	14.2	19.7	26.3	1.16	0.62	193	77	16.6	89	17.8	5.61	0.06	0.054	3.8	0.13	7.33	718	51	118	11.7	43.3	8.06	1.25	0.785	5.5	4	0.669	1.84	0.262	1.81	0.265	3.07	1.44	1.52	0.95	0.63	27.4	6.97	2250	2220	133214	419	40282	1057	3397	423	30422	43	32	968	30.59988403	266.4482727
